project_id,project_name,project_type,project_size,region,start_date,planned_end_date,structural_complexity_rating,temporary_structures_rating,bim_adoption_percentage,lead_time_rating,tariff_rate_percentage,supply_chain_risk_percentage,socio_political_risk_score,permit_approval_rating,lien_claims_rating,seismic_zone_rating,flood_risk_percentage,rainfall_flood_risk_percentage,contingency_budget_percentage,weather_delay_rating,safety_risk_rating,worker_experience_rating,turnover_rating,cybersecurity_risk_rating,renewable_energy_percentage,energy_efficiency_percentage,delay_days,cost_overrun_percentage,safety_incidents,overall_risk_score,risk_category,actual_end_date,on_time_completion,within_budget,project_success,high_risk_factors_count,top_risk_factors,recommended_mitigations
PRJ-2020-0000,Mountain Healthcare Development 0,Healthcare,Medium,Mountain,2018-01-05,2020-12-15,1,5,50,1,10,25,2,2,1,3,25,75,10,3,4,2,2,5,75,50,69,12.74109517120374,0,49.675000000000004,Medium,2021-02-22,0,0,0,6,Temporary Structures|Rainfall Flood Risk|Low Contingency Budget,Temporary Structures: Increase safety margins and inspection frequency for temporary structures | Rainfall Flood Risk: Implement enhanced drainage systems and establish weather monitoring protocols | Low Contingency Budget: Increase contingency allocations and implement strict change order controls
PRJ-2020-0001,Central Healthcare Development 1,Healthcare,Large,Central,2021-09-09,2022-10-15,2,1,25,5,50,10,4,1,5,4,25,0,20,4,5,1,2,4,25,75,36,27.63596306800134,1,55.2,Medium,2022-11-20,0,0,0,11,Low BIM Adoption|Long Lead Times|High Tariff Rates,Low BIM Adoption: Implement targeted BIM training and increase model usage requirements | Long Lead Times: Establish early procurement protocols and identify alternative suppliers | High Tariff Rates: Source local materials where possible and hedge against currency fluctuations
PRJ-2020-0002,Mountain Industrial Development 2,Industrial,Small,Mountain,2022-08-04,2024-04-02,5,4,10,1,15,10,3,4,5,4,0,50,25,2,4,1,4,3,75,50,158,27.526430784193654,0,55.75,Medium,2024-09-07,0,0,0,10,Structural Complexity|Temporary Structures|Low BIM Adoption,Structural Complexity: Conduct detailed structural analysis and engage specialized engineers | Temporary Structures: Increase safety margins and inspection frequency for temporary structures | Low BIM Adoption: Implement targeted BIM training and increase model usage requirements
PRJ-2020-0003,West Healthcare Development 3,Healthcare,Small,West,2021-07-19,2022-11-19,2,5,25,5,25,10,3,3,1,2,75,25,15,4,4,2,1,5,10,90,82,44.0342229399471,0,58.2,Medium,2023-02-09,0,0,0,10,Temporary Structures|Low BIM Adoption|Long Lead Times,Temporary Structures: Increase safety margins and inspection frequency for temporary structures | Low BIM Adoption: Implement targeted BIM training and increase model usage requirements | Long Lead Times: Establish early procurement protocols and identify alternative suppliers
PRJ-2020-0004,Coastal Industrial Development 4,Industrial,Small,Coastal,2021-05-13,2021-12-10,4,5,50,3,25,90,2,3,4,4,75,10,20,2,1,3,2,4,0,50,39,16.29315344206253,1,57.349999999999994,Medium,2022-01-18,0,0,0,9,Structural Complexity|Temporary Structures|High Tariff Rates,Structural Complexity: Conduct detailed structural analysis and engage specialized engineers | Temporary Structures: Increase safety margins and inspection frequency for temporary structures | High Tariff Rates: Source local materials where possible and hedge against currency fluctuations
PRJ-2020-0005,Coastal Infrastructure Development 5,Infrastructure,Small,Coastal,2024-04-15,2024-10-26,2,3,25,2,5,50,4,5,2,2,50,75,15,4,4,3,1,2,10,50,124,8.51459176440689,0,54.349999999999994,Medium,2025-02-27,0,0,0,9,Low BIM Adoption|Supply Chain Disruption|Socio-political Issues,Low BIM Adoption: Implement targeted BIM training and increase model usage requirements | Supply Chain Disruption: Develop alternate sourcing strategy for critical materials and establish stockpiling protocol | Socio-political Issues: Engage local stakeholders early and maintain communication channels with authorities
PRJ-2020-0006,Central Infrastructure Development 6,Infrastructure,Small,Central,2023-09-29,2024-10-29,1,4,90,3,50,90,2,2,1,4,0,25,15,4,5,1,5,4,0,50,24,47.214992794689174,1,56.199999999999996,Medium,2024-11-22,0,0,0,10,Temporary Structures|High Tariff Rates|Supply Chain Disruption,Temporary Structures: Increase safety margins and inspection frequency for temporary structures | High Tariff Rates: Source local materials where possible and hedge against currency fluctuations | Supply Chain Disruption: Develop alternate sourcing strategy for critical materials and establish stockpiling protocol
PRJ-2020-0007,Coastal Commercial Development 7,Commercial,Medium,Coastal,2018-09-02,2019-02-24,1,3,50,2,5,90,1,2,5,3,75,50,10,4,4,3,3,4,25,25,91,26.526936610636014,1,56.150000000000006,Medium,2019-05-26,0,0,0,10,Supply Chain Disruption|Lien Claims|Flood Risk,Supply Chain Disruption: Develop alternate sourcing strategy for critical materials and establish stockpiling protocol | Lien Claims: Improve subcontractor vetting and implement robust payment verification system | Flood Risk: Develop comprehensive flood mitigation plans including elevated foundations and waterproof materials
PRJ-2020-0008,North Residential Development 8,Residential,Small,North,2019-01-09,2020-02-28,5,2,25,4,10,90,3,3,1,1,75,25,25,5,3,1,2,4,10,25,46,25.274767654749454,0,59.4,Medium,2020-04-14,0,0,0,10,Structural Complexity|Low BIM Adoption|Long Lead Times,Structural Complexity: Conduct detailed structural analysis and engage specialized engineers | Low BIM Adoption: Implement targeted BIM training and increase model usage requirements | Long Lead Times: Establish early procurement protocols and identify alternative suppliers
PRJ-2020-0009,Desert Commercial Development 9,Commercial,Medium,Desert,2024-08-18,2024-11-27,3,5,10,1,10,50,2,1,4,4,75,50,15,4,2,2,5,2,0,75,117,22.8949876606379,1,58.45,Medium,2025-03-24,0,0,0,11,Temporary Structures|Low BIM Adoption|Supply Chain Disruption,Temporary Structures: Increase safety margins and inspection frequency for temporary structures | Low BIM Adoption: Implement targeted BIM training and increase model usage requirements | Supply Chain Disruption: Develop alternate sourcing strategy for critical materials and establish stockpiling protocol
PRJ-2020-0010,Coastal Educational Development 10,Educational,Small,Coastal,2024-08-05,2027-01-04,4,4,25,1,10,90,2,2,3,5,25,50,15,3,1,4,3,5,75,50,85,46.58458257126388,0,52.95,Medium,2027-03-30,0,0,0,7,Structural Complexity|Temporary Structures|Low BIM Adoption,Structural Complexity: Conduct detailed structural analysis and engage specialized engineers | Temporary Structures: Increase safety margins and inspection frequency for temporary structures | Low BIM Adoption: Implement targeted BIM training and increase model usage requirements
PRJ-2020-0011,West Industrial Development 11,Industrial,Large,West,2020-02-16,2022-07-06,4,5,10,4,25,75,1,4,3,2,25,50,20,1,4,1,4,5,0,50,89,45.30431161621563,0,63.975,High,2022-10-03,0,0,0,13,Structural Complexity|Temporary Structures|Low BIM Adoption,Structural Complexity: Conduct detailed structural analysis and engage specialized engineers | Temporary Structures: Increase safety margins and inspection frequency for temporary structures | Low BIM Adoption: Implement targeted BIM training and increase model usage requirements
PRJ-2020-0012,East Residential Development 12,Residential,Medium,East,2024-08-12,2026-06-06,3,2,90,5,50,10,5,4,2,4,0,75,25,4,4,5,3,4,10,50,80,34.09660341972044,0,53.400000000000006,Medium,2026-08-25,0,0,0,10,Long Lead Times|High Tariff Rates|Socio-political Issues,Long Lead Times: Establish early procurement protocols and identify alternative suppliers | High Tariff Rates: Source local materials where possible and hedge against currency fluctuations | Socio-political Issues: Engage local stakeholders early and maintain communication channels with authorities
PRJ-2020-0013,North Healthcare Development 13,Healthcare,Large,North,2021-01-02,2021-09-09,1,1,25,4,5,10,3,2,2,2,10,50,25,1,4,4,2,3,10,25,37,7.815422804558581,0,39.550000000000004,Medium,2021-10-16,0,0,0,6,Low BIM Adoption|Long Lead Times|Rainfall Flood Risk,Low BIM Adoption: Implement targeted BIM training and increase model usage requirements | Long Lead Times: Establish early procurement protocols and identify alternative suppliers | Rainfall Flood Risk: Implement enhanced drainage systems and establish weather monitoring protocols
PRJ-2020-0014,North Infrastructure Development 14,Infrastructure,Small,North,2020-02-10,2022-02-17,1,3,90,4,5,25,2,2,4,1,50,25,15,1,1,1,5,5,25,90,35,31.925429085980632,0,42.575,Medium,2022-03-24,0,0,0,7,Long Lead Times|Lien Claims|Flood Risk,Long Lead Times: Establish early procurement protocols and identify alternative suppliers | Lien Claims: Improve subcontractor vetting and implement robust payment verification system | Flood Risk: Develop comprehensive flood mitigation plans including elevated foundations and waterproof materials
PRJ-2020-0015,South Commercial Development 15,Commercial,Mega,South,2020-02-27,2022-11-28,5,2,50,2,10,75,3,3,2,2,10,0,25,3,4,3,5,2,75,50,42,22.207197206753655,1,45.025,Medium,2023-01-09,0,0,0,4,Structural Complexity|Supply Chain Disruption|Safety Risks,Structural Complexity: Conduct detailed structural analysis and engage specialized engineers | Supply Chain Disruption: Develop alternate sourcing strategy for critical materials and establish stockpiling protocol | Safety Risks: Implement enhanced safety protocols and increase safety personnel on site
PRJ-2020-0016,South Healthcare Development 16,Healthcare,Medium,South,2023-12-27,2024-11-03,5,3,10,4,50,50,5,5,3,2,50,25,20,1,5,3,5,4,0,10,107,58.13873428224426,1,67.3,High,2025-02-18,0,0,0,13,Structural Complexity|Low BIM Adoption|Long Lead Times,Structural Complexity: Conduct detailed structural analysis and engage specialized engineers | Low BIM Adoption: Implement targeted BIM training and increase model usage requirements | Long Lead Times: Establish early procurement protocols and identify alternative suppliers
PRJ-2020-0017,Mountain Infrastructure Development 17,Infrastructure,Medium,Mountain,2022-07-13,2023-04-11,5,5,50,1,50,10,2,3,4,5,50,75,10,1,5,2,3,5,10,75,94,45.200282840061064,0,67.14999999999999,High,2023-07-14,0,0,0,12,Structural Complexity|Temporary Structures|High Tariff Rates,Structural Complexity: Conduct detailed structural analysis and engage specialized engineers | Temporary Structures: Increase safety margins and inspection frequency for temporary structures | High Tariff Rates: Source local materials where possible and hedge against currency fluctuations
